"Year","Month","tide.level.mm","tide.level.interp","anomalies","anomalies13","anomaliesb","anomalies13b"
1964,12,723,723,-4.9522148459472,27.1724088626355,-39.4919376236783,-5.41279406203833
1965,1,715,715,4.46384362801018,31.9179508339108,-25.8410861347634,-0.341498781920002
1965,2,726,726,30.6531478597129,30.9340747503191,0.3482180969404,-0.999621556668706
1965,3,664,664,-10.406589127051,20.6538131925989,-40.7115188898239,-10.954129805546
1965,4,655,655,13.8264643454459,20.164900210771,-16.4784654173275,-11.1172894785308
1965,5,616,616,35.3326564036071,18.0933848314645,5.02772664083398,-12.8630515489944
1965,6,NA,625.849829937309,27.3617853936858,13.6538284204228,-2.94314436908689,-16.976854651193
1965,7,NA,629.966988580885,47.9669710920431,17.011758302336,17.6620413292706,-12.9216349171933
1965,8,586,586,25.9725634335537,16.0445532425372,-4.33236632921921,-13.5173034337483
1965,9,520,520,-32.9078668077227,15.3658834736256,-63.2127965704958,-13.8244366594162
1965,10,665,665,41.4992344376016,18.3251206631187,11.194304674829,-10.4936629266795
1965,11,717,717,11.4049585075917,12.9207531284321,-18.8999712551813,-15.5264939181224
1965,12,717,717,-12.7151848550341,10.8000326927824,-43.0201146178061,-17.2756778105284
1966,1,751,751,38.7008736189234,13.5596655472736,13.2259189183176,-14.1445084127935
1966,2,689,689,-8.10982214937394,11.655251880537,-33.5847768499787,-15.6773855362865
1966,3,698,698,21.8304408638622,16.7596057074321,-3.64451383674293,-10.2014951661477
1966,4,671,671,28.063494336359,31.8091542640658,2.58853963575348,5.21958993372967
1966,5,526,526,-56.4303136054797,32.3585968841353,-81.9052683060851,6.14056909704279
1966,6,NA,608.01430529287,7.76329074016064,39.9829727786189,-17.7116639604442,14.1364815347702
1966,7,647,647,63.2370125020718,46.4178257374551,37.762057801467,21.3411121847418
1966,8,585,585,23.2095934244669,45.3736976007333,-2.26536127613826,20.6952251959119
1966,9,647,647,92.3291631831904,45.3873355241294,66.8542084825851,21.1071042671998
1966,10,788,788,162.736264428515,43.885034252084,137.26130972791,20.0030441430462
1966,11,756,756,48.6419884985049,42.096051332782,23.1670337978996,18.6123023716361
1966,12,842,842,110.521845135879,49.3588458746038,85.0468904352748,26.2733380613497
1967,1,785,785,70.9379036098366,46.6442883171287,50.6400838318247,23.9570216517665
1967,2,724,724,25.1272078415393,40.4296430027678,4.82938806352843,18.1406174852974
1967,3,670,670,-7.93252914522452,35.8416891373553,-28.2303489232357,13.9509047677767
1967,4,647,647,2.30052432727223,28.4296992324505,-17.9972954507394,6.93715601076379
1967,5,589,589,4.80671638543345,12.7483726217507,-15.4911033925779,-8.34592945204416
1967,6,640,640,37.9860154382035,-0.242636099150266,17.6881956601925,-20.9386970250532
1967,7,558,558,-27.5259575070151,-10.6539369864679,-47.8237772850258,-30.5457391874395
1967,8,546,546,-17.55337658462,-17.1596035847282,-37.8511963626312,-36.64538820866
1967,9,520,520,-36.4338068258963,-15.2998118151783,-56.7316266039078,-34.3795788620704
