time,latitude,longitude,uwnd,vwnd,nobs
UTC,degrees_north,degrees_east,m s-1,m s-1,count
2010-07-28T00:00:00Z,9.125,70.375,8.511872,0.5127266,0.0
2010-07-28T00:00:00Z,9.125,70.625,8.130379,0.19227248,0.0
2010-07-28T00:00:00Z,9.125,70.875,7.745834,-0.12818165,0.0
2010-07-28T00:00:00Z,9.125,71.125,7.800769,-0.14344138,1.0
2010-07-28T00:00:00Z,9.125,71.375,8.218885,0.13733748,1.0
2010-07-28T00:00:00Z,9.125,71.625,8.615638,0.40590855,1.0
2010-07-28T00:00:00Z,9.125,71.875,9.067326,0.67447966,1.0
2010-07-28T00:00:00Z,9.125,72.125,9.216871,0.7416224,1.0
2010-07-28T00:00:00Z,9.375,68.125,9.52817,2.0692182,1.0
2010-07-28T00:00:00Z,9.375,68.375,9.564793,1.9501922,1.0
2010-07-28T00:00:00Z,9.375,68.625,9.567844,1.8220106,2.0
2010-07-28T00:00:00Z,9.375,68.875,9.543429,1.6816212,2.0
2010-07-28T00:00:00Z,9.375,69.125,9.470182,1.5442837,2.0
2010-07-28T00:00:00Z,9.375,69.375,9.357261,1.4099982,2.0
2010-07-28T00:00:00Z,9.375,69.625,9.247391,1.2726607,2.0
2010-07-28T00:00:00Z,9.375,69.875,9.140573,1.1383752,1.0
2010-07-28T00:00:00Z,9.375,70.125,8.96356,0.9766221,0.0
2010-07-28T00:00:00Z,9.375,70.375,8.713301,0.7904535,0.0
2010-07-28T00:00:00Z,9.375,70.625,8.469145,0.601233,0.0
2010-07-28T00:00:00Z,9.375,70.875,8.228042,0.40896052,0.0
2010-07-28T00:00:00Z,9.375,71.125,8.295184,0.41811633,1.0
2010-07-28T00:00:00Z,9.375,71.375,8.5942745,0.6195446,1.0
2010-07-28T00:00:00Z,9.375,71.625,8.887261,0.83623266,1.0
2010-07-28T00:00:00Z,9.375,71.875,9.2626505,1.0681804,1.0
2010-07-28T00:00:00Z,9.375,72.125,9.40304,1.141427,1.0
2010-07-28T00:00:00Z,9.625,68.125,9.805897,2.1241531,1.0
2010-07-28T00:00:00Z,9.625,68.375,9.818104,1.9959714,1.0
2010-07-28T00:00:00Z,9.625,68.625,9.799792,1.855582,2.0
2010-07-28T00:00:00Z,9.625,68.875,9.757065,1.7090887,2.0
2010-07-28T00:00:00Z,9.625,69.125,9.653299,1.580907,2.0
2010-07-28T00:00:00Z,9.625,69.375,9.49765,1.4618812,2.0
2010-07-28T00:00:00Z,9.625,69.625,9.342001,1.3367515,2.0
2010-07-28T00:00:00Z,9.625,69.875,9.186352,1.2085699,0.0
2010-07-28T00:00:00Z,9.625,70.125,9.039859,1.1139596,0.0
2010-07-28T00:00:00Z,9.625,70.375,8.911676,1.0529207,0.0
2010-07-28T00:00:00Z,9.625,70.625,8.792651,0.9857779,0.0
2010-07-28T00:00:00Z,9.625,70.875,8.673625,0.9216871,0.0
2010-07-28T00:00:00Z,9.625,71.125,8.74382,0.9491546,1.0
2010-07-28T00:00:00Z,9.625,71.375,8.939144,1.0742843,1.0
2010-07-28T00:00:00Z,9.625,71.625,9.146676,1.2329854,1.0
2010-07-28T00:00:00Z,9.625,71.875,9.451871,1.4283098,1.0
2010-07-28T00:00:00Z,9.625,72.125,9.573949,1.4862968,1.0
2010-07-28T00:00:00Z,9.875,68.125,10.077519,2.2157114,1.0
