"Year","Month","Dates","UPW.1","UPW.2","UPW.3","UPW.4","UPW.5","UPW.6","UPW.7","UPW.8","UPW.9","UPW.10","UPW.11","UPW.12","UPW.13","UPW.14"
"2004","03",2004-03-16 12:00:00,-8.74671637007829e-07,-2.67863701717502e-06,-4.2347377677226e-07,5.94488496948505e-08,-7.23454951893685e-06,6.88752635632547e-07,-5.68299413344428e-07,6.68581167624963e-07,-3.71423415919306e-08,1.3917439836416e-06,1.9477554186086e-06,2.61670276316646e-07,2.00845475137879e-06,4.72852570208161e-07
"2004","04",2004-04-16 00:00:00,-3.56761371289593e-07,-7.60817628717534e-07,1.10073166710704e-06,-3.2266432817285e-07,-3.37333015347631e-06,-9.32249143417958e-07,4.54394157066594e-07,1.3800239996021e-06,1.83990108819862e-06,1.04304413797409e-06,2.50512629893276e-06,1.64415501188491e-06,8.0105945508852e-07,-3.26037729393163e-07
"2004","05",2004-05-16 12:00:00,-6.52386094001346e-07,-2.60437738575092e-06,2.35958725955581e-06,4.51181325811234e-06,8.60696388139287e-06,6.13570439137826e-06,5.29458863958083e-06,3.4335961955818e-06,9.37502076996882e-06,4.83183504159424e-06,5.72360443391361e-06,9.06104198763716e-06,4.18918162772286e-06,-1.05542612786957e-07
"2004","06",2004-06-16 00:00:00,-2.11692623125624e-06,-8.07742811515267e-06,8.60727550917905e-07,1.35841563693913e-06,5.80310657941511e-06,-8.53517666442196e-07,-1.83852818208609e-06,2.44227314476294e-07,-1.4401855783442e-06,2.96090868485205e-06,-4.94573348278179e-07,3.89504394893981e-07,2.72116934461053e-06,-3.85927349207509e-06
"2004","07",2004-07-16 12:00:00,5.03552690531706e-06,3.68552330016698e-06,4.75351752354157e-06,4.62142227212562e-06,1.83986665938107e-05,1.97634196707355e-06,2.79539139885148e-06,4.42187082981429e-06,4.79849598712513e-06,1.21129367444772e-05,3.30197969321501e-06,1.07525892926956e-05,3.04302436948819e-06,1.09795489136456e-06
"2004","08",2004-08-16 12:00:00,5.56081287310206e-06,3.98314345043341e-06,6.93332585461287e-06,1.01164100710451e-05,2.5620574945151e-05,3.13426757522258e-06,5.41063577292121e-06,7.4871528403194e-06,7.46613476899761e-06,1.34774669950247e-05,1.91433611782734e-06,1.75510301280582e-06,-3.70062528589621e-06,4.07738269277061e-06
"2004","09",2004-09-16 00:00:00,8.20183450182063e-07,-1.48458750362014e-06,1.83670015568344e-06,3.74063331509689e-06,6.7034003838895e-06,4.02767635359837e-06,4.3710600871502e-06,5.99097213618255e-06,3.28307521617555e-06,5.83422631919812e-06,2.39542541260405e-06,3.83715948047309e-06,4.37082091551133e-06,2.31273771866825e-06
"2004","10",2004-10-16 12:00:00,-4.15917287382282e-06,-1.86064650671821e-06,-3.75834727735351e-06,-1.72580435275904e-06,-1.48721063819579e-05,-3.54329871535241e-06,7.83096705966365e-07,-1.02383819669504e-06,-1.08167608685128e-06,-4.12770133477407e-06,-1.85765263904503e-06,7.70915231437694e-07,1.33192437129226e-06,5.62401989953333e-07
"2004","11",2004-11-16 00:00:00,-1.47891802635641e-06,-3.14368016300174e-06,1.26379307051717e-06,-1.0438180172301e-06,5.51350660392321e-06,1.14579415028058e-06,-1.91351762124918e-06,3.87501167066193e-08,3.93530291014947e-06,9.38807629605564e-08,2.67881925498122e-06,-3.34205940420049e-07,-9.79742181459858e-07,4.90181889695107e-07
"2004","12",2004-12-16 12:00:00,-4.62479009044614e-07,-4.75887575448355e-07,7.41800418878949e-07,-1.43244149519717e-06,4.00505895223962e-06,3.09914376984948e-06,-1.52770307732592e-06,-3.60624284177374e-06,4.75343146802934e-06,-4.39863824549703e-06,1.25295763947126e-06,-2.81846391953561e-07,1.9470229833729e-06,9.73205011989745e-07
