"Year","Month","UPW"
2013,3,379.527583850193
2013,4,1113.00611464195
2013,5,1722.73110152115
2013,6,896.565811062993
2013,7,760.794395746022
2013,8,817.125633075631
2013,9,577.136683130881
2013,10,418.071606780711
2013,11,-69.5220659404741
2013,12,-225.929747285828
2014,1,-282.062752351091
2014,2,0.50968118964899
2014,3,105.003873188285
2014,4,458.176905514706
2014,5,559.146691865261
2014,6,1130.47371619005
2014,7,995.487933144372
2014,8,672.442864141657
2014,9,658.563880746521
2014,10,61.6559004222816
2014,11,-194.928503787659
2014,12,-271.85083444329
2015,1,-133.350751965905
2015,2,-95.1215274530348
2015,3,127.800300200537
2015,4,140.028364561053
2015,5,347.726438469194
2015,6,424.948507902079
2015,7,869.344617420285
2015,8,638.713445572752
2015,9,392.79376248004
2015,10,50.0521425402108
2015,11,-114.598578250354
2015,12,-386.054644952012
2016,1,-261.664674937689
2016,2,-18.6286878229394
2016,3,198.685327402173
2016,4,481.694934069888
2016,5,519.055014344543
2016,6,634.809595861106
2016,7,672.063196548272
2016,8,729.65181802838
2016,9,834.043357242872
2016,10,356.786416878466
2016,11,-36.6085309996557
2016,12,-96.8218713645964
2017,1,-208.776829065514
2017,2,-120.248325612498
2017,3,227.166863660935
2017,4,689.418526997644
2017,5,687.186107131818
2017,6,689.587826766282
2017,7,687.1774885501
2017,8,747.455692722394
2017,9,403.73658796996
2017,10,164.415117770577
2017,11,-270.587877905241
2017,12,-929.868258008159
2018,1,-111.688466513628
2018,2,-109.97466054616
2018,3,149.455831722294
2018,4,246.180738724804
2018,5,445.905126336053
2018,6,741.396877700562
2018,7,842.955085873034
2018,8,942.271070110265
2018,9,493.414868964029
2018,10,45.2513969964027
2018,11,-176.327896183529
2018,12,-103.162969891201
2019,1,-205.274918326083
2019,2,17.8365839650258
2019,3,284.185411343242
2019,4,315.868285373319
2019,5,800.02081636354
2019,6,561.201235983139
2019,7,645.920101749664
2019,8,659.390739330511
2019,9,383.150859148379
