"Year","Month","EMTperp","We"
2000,1,-106.50173749661,-18.4546031433694
2000,2,-316.992044946757,-1.76696399787011
2000,3,-395.165686869946,-0.458702183120451
2000,4,-418.918742383641,3.86398832001145
2000,5,-564.621201356074,4.90599775211282
2000,6,-1139.66008270685,6.38489976261078
2000,7,-1117.72466955385,4.6599118764353
2000,8,-844.378742463569,6.94259249824405
2000,9,-284.213791462073,7.94378013855173
2000,10,-236.621341500044,3.96489815659422
2000,11,-99.175718764103,-4.121420839448
2000,12,-80.2909979469814,-8.06981845014035
2001,1,-133.545506002598,-18.6003676941794
2001,2,-194.232944572644,-2.30517490594091
2001,3,-465.594615897852,-1.18425934859544
2001,4,-71.8413468929049,0.894024510396497
2001,5,-331.383360131378,7.10362689792368
2001,6,-861.23572200014,3.51206182416536
2001,7,-1072.79420626251,1.48882344802923
2001,8,-1144.50832060945,1.98167449347391
2001,9,-458.240232639008,8.34564631275137
2001,10,-252.052597928183,9.66664883983173
2001,11,-89.9191314266016,-0.0790674127673012
2001,12,-125.09884925259,-20.3282239319791
2002,1,-264.548206357609,-12.6505188293863
2002,2,-129.411570745732,-20.0702046080697
2002,3,-133.020367203983,-2.6708361618173
2002,4,-95.2699728321345,0.101535846748993
2002,5,-244.323397468542,6.84454811362692
2002,6,-856.686135541949,7.99514938824477
2002,7,-1266.3792780782,3.98261300211671
2002,8,-1011.49769367358,2.55600645032189
2002,9,-625.748792551617,3.17203247146597
2002,10,-20.2046440444436,4.86562765173693
2002,11,-38.6727080139853,-0.785958682895035
2002,12,-117.401786463765,-15.5589591653751
2003,1,-145.504280746301,-23.7674428588441
2003,2,-167.839346951157,-8.65600971102501
2003,3,-104.017885281492,-1.72506399946155
2003,4,-79.5987149208156,0.389375241948019
2003,5,-670.327507478276,5.84916070709404
2003,6,-432.839501571829,3.47721610493611
2003,7,-706.304049741286,-0.0234637989987306
2003,8,-1041.18891973814,4.8356311574584
2003,9,-752.727612065571,4.86374399110357
2003,10,-117.809689480824,6.10953089077664
2003,11,-91.3606555484757,-12.6009960460511
2003,12,-138.469601315481,-11.9005428758206
2004,1,-179.054411042068,-16.3948855490046
2004,2,-158.480769327081,-8.09761176803418
2004,3,-140.177851463551,-1.28223632650072
2004,4,-244.432343590182,0.432593110353638
2004,5,-535.305983659511,14.4242731658331
2004,6,-776.18925495787,4.2405194701796
2004,7,-1104.73420609881,8.04244801338056
2004,8,-1097.05697088571,-0.229019768931217
2004,9,-242.889836326863,8.14112282894594
2004,10,-101.728622163965,-1.02217184361953
2004,11,-60.0298805164595,-9.58821750458466
2004,12,-139.954118398939,-24.0403066464193
2005,1,-176.380600819397,-10.8372885420204
2005,2,-252.977560388021,-12.5244709107999
2005,3,-291.55314589309,-1.63811624127665
2005,4,-78.3861523388497,0.485036851997778
2005,5,-367.262514334795,5.38835260942725
2005,6,-540.400255319471,9.28707546867594
2005,7,-1038.19040281109,3.63295070196333
2005,8,-878.022553652203,2.61795149146252
2005,9,-789.699198492064,5.37370253397701
2005,10,-258.531411615529,8.3450473264735
2005,11,-55.8174222609484,0.567969613010709
2005,12,-130.541474240393,-1.73852419406872
2006,1,-118.453301129494,-15.9316054683964
2006,2,-129.325001361814,-13.2178113074433
2006,3,-298.928714640128,-0.643931828427245
2006,4,-461.8713772307,2.59865415301001
2006,5,-459.989380495664,5.81190734929642
2006,6,-570.589092509282,4.18286370567566
2006,7,-925.862275387759,1.04778230067813
2006,8,-624.880012207292,-0.47791968133349
2006,9,-387.153596907704,5.07326171015062
2006,10,-56.4049931277292,0.706518128603825
2006,11,-12.6064164057264,-5.00340485838784
2006,12,-147.305033528265,-32.5742783726644
2007,1,-150.387879177118,-27.3516657849162
2007,2,-171.354065021446,-10.6758358274175
2007,3,-167.146722079283,-1.8134517740449
2007,4,-163.759895409487,0.683389995932848
2007,5,-349.110220615605,5.51137876074211
2007,6,-517.002790346396,0.965718969012697
2007,7,-798.785271782604,1.87795076275419
2007,8,-652.893519712633,0.518704727788136
2007,9,-517.820971278194,3.93210762657898
2007,10,-97.364645815705,7.1682446203411
2007,11,-99.3416834846612,-1.90805433004653
2007,12,-138.628885961732,-11.0037840673855
2008,1,-176.693876396216,-10.7347173609686
2008,2,-334.37682456279,-2.82348068071678
2008,3,-38.016651652445,-1.35125567480912
2008,4,-253.425907769197,0.361210978740671
2008,5,-314.683928749684,6.62497417062652
2008,6,-353.438372213654,1.10108545763529
2008,7,-942.216615746664,3.52069219974646
2008,8,-701.823148260837,3.71450483393556
2008,9,-339.688551678308,3.33721145614992
2008,10,-71.0517822126217,1.9139582453791
2008,11,-129.341458620766,0.317141542243485
2008,12,-70.140082862529,-9.58806835019491
2009,1,-86.6558995695826,-25.5452226484763
2009,2,-154.727763724479,-6.04575287344473
2009,3,-120.889936754107,-0.653920102260159
2009,4,-276.589529273568,0.801017087144523
2009,5,-542.863665938662,10.5089840886439
2009,6,-468.032080401024,8.7168007422423
2009,7,-588.386248548145,-0.756954916441575
2009,8,-802.080814806929,7.8392873254515
2009,9,-718.540636100061,9.93083943623756
2009,10,-169.639577768634,-0.650470265129616
2009,11,-43.9988075654388,-0.380693313606919
2009,12,-79.6732965255916,-10.9231165701776
2010,1,-90.1809093447989,-17.1747469088775
2010,2,-201.506013232679,-7.24228677197216
2010,3,-253.448673563938,-2.50002887226065
